2018/09/05 11:04:59 [error] 1172#1172: *66 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:04:59 [error] 1172#1172: *68 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:05:05 [error] 1172#1172: *69 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:05:05 [error] 1172#1172: *70 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:05:08 [error] 1172#1172: *69 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:05:08 [error] 1172#1172: *63 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:05:11 [error] 1172#1172: *70 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:05:11 [error] 1172#1172: *63 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:05:29 [error] 1172#1172: *63 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-close-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-close-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:05:29 [error] 1172#1172: *69 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_575fd706dafbeda6a0c3d93ee5bd3984/template_575fd706dafbeda6a0c3d93ee5bd3984.css?153611669980896"
2018/09/05 11:08:41 [error] 1172#1172: *90 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/local/templates/design2/files/imgs/mobile-search-ico.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /local/templates/design2/files/imgs/mobile-search-ico.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/bitrix/cache/css/s1/design2/template_6f70b580c72d81f1c133c57c278e6315/template_6f70b580c72d81f1c133c57c278e6315.css?153611692180856"
2018/09/06 14:52:57 [error] 29174#29174: *19 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/img/gkh-logo2.png.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /img/gkh-logo2.png.png HTTP/1.1", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/"
2018/09/06 14:53:03 [error] 29174#29174: *19 open() "/home/bayeer/Sites/garantpark/bxgkhbur.loc/public/img/gkh-logo2.png.png" failed (2: No such file or directory), client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /img/gkh-logo2.png.png HTTP/1.1", host: "bxgkhbur.loc"
2018/09/07 10:05:35 [crit] 1202#1202: *1 connect() to unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock:", host: "bxgkhbur.loc"
2018/09/07 16:04:04 [error] 1202#1202: *278 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '<' in /home/bayeer/Sites/garantpark/bxgkhbur.loc/public/404.php on line 69" while reading response header from upstream, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /obshestvenniy_kontrol/1038/?sphrase_id=10 HTTP/1.1", upstream: "fastcgi://unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock:", host: "bxgkhbur.loc", referrer: "http://bxgkhbur.loc/search/"
2018/09/11 16:24:18 [error] 1145#1145: *3 connect() to unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock:", host: "bxgkhbur.loc"
2018/09/13 09:14:10 [error] 1211#1211: *1 connect() to unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: bxgkhbur.loc, request: "GET /zz.php HTTP/1.1", upstream: "fastcgi://unix:/home/bayeer/.phpbrew/php/php-5.6.37/var/run/php-fpm.sock:", host: "bxgkhbur.loc"
